Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","2472","2472","2472","2472","2472","91","","","","","","","1"
"2504 Natural Graphite","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","202350","202350","0","205350","205350","0","","","","","","","2"
"2504 Natural Graphite","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","731819","731819","0","751821","751821","0","","","","","","","3"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","67814","67814","41335","82187","82187","4695","","","","","","","9"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","28987","28987","28987","29415","29415","4897","","","","","","","3"
"3910 Silicones, In Primary Forms","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","3826129","3826129","3826129","4051376","4051376","114780","","","","","","","122"
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","94085","94085","94085","97642","97642","2823","","","","","","","9"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","2244801","2240707","114548","2263845","2275268","4240","","","","","","","43"
"2603 Copper Ores And Concentrates","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","17013","17013","17013","18714","18714","0","","","","","","","1"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","37841109","37841109","0","38163673","38163673","0","","","","","","","42"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","45871004","45773804","30240324","49800493","49700293","3014970","","","","","","","325"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","10988","10988","10988","11586","11586","329","","","","","","","10"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1387293","1387293","0","1391453","1391453","0","","","","","","","1"
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","15654","15654","0","16248","16248","0","","","","","","","3"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","11866","11866","11866","11872","11872","0","","","","","","","4"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","631517","631517","226825","639724","639724","8392","","","","","","","37"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","149648","149648","20618","158395","158395","886","","","","","","","21"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","21343","21343","0","22063","22063","0","","","","","","","3"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","23778793","23778793","163346","24252123","24252123","17300","","","","","","","174"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2022","10097663","10097663","0","10319103","10319103","0","","","","","","","29"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","20229985","19528185","17103905","20653448","19957557","876825","","","","","","","211"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","5927818","5927818","8158","6338745","6338745","356","","","","","","","53"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","9468406","9468406","0","9549205","9549205","0","","","","","","","27"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","202494","202494","202494","246005","246005","23932","","","","","","","20"
"3910 Silicones, In Primary Forms","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2021","1731703","1731703","1159778","1837623","1837623","34793","","","","","","","20"
"3910 Silicones, In Primary Forms","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","10879858","11045150","11045150","11816392","11981685","336992","","","","","","","218"
"2504 Natural Graphite","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","52820","52820","0","55068","55068","0","","","","","","","3"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","1136686","1136686","13125","1152998","1152998","722","","","","","","","6"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","37149602","37149602","1891982","41888055","41888055","472998","","","","","","","333"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2022","9747","9747","0","10401","10401","0","","","","","","","3"
"2504 Natural Graphite","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","1759304","1759304","0","1780808","1780808","0","","","","","","","7"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","120479","120479","0","122979","122979","0","","","","","","","1"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","11030832","12821632","10899969","11272096","13079332","550333","","","","","","","123"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","20321576","20321576","184574","20825494","20825494","23659","","","","","","","160"
"3910 Silicones, In Primary Forms","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","5725122","5725122","5725122","6057230","6057230","171748","","","","","","","145"
"2614 Titanium Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","120937","120937","0","126984","126984","0","","","","","","","3"
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","38542","38542","0","39128","39128","0","","","","","","","4"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","321153696","321153696","0","321275908","321275908","0","","","","","","","98"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","135637","135637","135637","135644","135644","5019","","","","","","","7"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","1229862","1229862","201969","1281121","1281121","7563","","","","","","","20"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","557221","557221","205305","643944","643944","41716","","","","","","","28"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","430531","430531","399758","436659","436659","34612","","","","","","","19"
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","2080522","2079357","2032797","2220356","2219620","60990","","","","","","","149"
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","2390571","2392224","2392224","2520531","2522173","71771","","","","","","","152"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","46752","46752","46752","75904","75904","0","","","","","","","2"
"2504 Natural Graphite","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","2308","2308","0","2498","2498","0","","","","","","","1"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","6166144","6166144","0","6194203","6194203","0","","","","","","","12"
"3910 Silicones, In Primary Forms","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","83853602","82252487","82252487","92513932","90906384","2552435","","","","","","","1847"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","278587","278587","215612","290306","290306","8469","","","","","","","10"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","27986","27986","5284","29186","29186","528","","","","","","","3"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","115143","115143","115143","123137","123137","6333","","","","","","","1"
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","14572832","14576103","4698711","15466923","15470237","152981","","","","","","","490"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","619270","619270","568999","878767","878767","34354","","","","","","","42"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","1043837","1043837","88821","1056441","1056441","3286","","","","","","","11"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","14392624","14392624","4561966","14722267","14722267","1420979","","","","","","","313"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","181509","181509","153169","187816","187816","5893","","","","","","","9"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","13498189","13498189","1952482","13706312","13706312","63843","","","","","","","58"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","482859","482859","49802","487630","487630","2440","","","","","","","4"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","996588","996588","0","1071777","1071777","0","","","","","","","60"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","12608931","12608931","2174994","12706807","12706807","164938","","","","","","","54"
"3910 Silicones, In Primary Forms","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","201650415","198871727","198871727","222651035","219851877","5966159","","","","","","","3785"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","107981","107981","107981","108596","108596","4319","","","","","","","3"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","16587892","16587892","1636041","16778687","16778687","58171","","","","","","","195"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","11120","11120","11120","12117","12117","1121","","","","","","","2"
